Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,id-id,
ExportPresetTitle,Export preset dialog title,プリセットをエクスポート,Export Preset,导出预设,匯出預設,프리셋 내보내기,Exportar preset,تصدير الإعداد المسبق,Ekspor Preset,
EqpFileFilter,EQP file filter text,EQPファイル (*.eqp)|*.eqp,EQP files (*.eqp)|*.eqp,EQP文件 (*.eqp)|*.eqp,EQP檔案 (*.eqp)|*.eqp,EQP 파일 (*.eqp)|*.eqp,Archivos EQP (*.eqp)|*.eqp,ملفات EQP (*.eqp)|*.eqp,File EQP (*.eqp)|*.eqp,
EnterGroupNamePrompt,Prompt to enter group name,グループ名を入力してください,Enter group name,请输入组名,請輸入群組名稱,그룹 이름을 입력하세요,Ingrese el nombre del grupo,أدخل اسم المجموعة,Masukkan nama grup,
CannotDeleteGroup,Error when group cannot be deleted,このグループは削除できません。,This group cannot be deleted.,此组无法删除。,此群組無法刪除。,이 그룹은 삭제할 수 없습니다.,Este grupo no se puede eliminar.,لا يمكن حذف هذه المجموعة.,Grup ini tidak dapat dihapus.,
Error,Error dialog title,エラー,Error,错误,錯誤,오류,Error,خطأ,Error,
DeleteGroupConfirm,Delete group confirmation message,グループ「{0}」を削除しますか？,"Delete group ""{0}""?",删除组“{0}”？,刪除群組「{0}」？,"그룹 ""{0}""을(를) 삭제할까요?","¿Eliminar el grupo ""{0}""?","هل تريد حذف المجموعة ""{0}""؟","Hapus grup ""{0}""?",
MaxPointsReached,Message when max points are reached,これ以上ポイントを追加できません（最大32個）,Cannot add more points (max 32).,无法添加更多点（最多32个）。,無法再新增更多點（最多32個）。,더 이상 포인트를 추가할 수 없습니다(최대 32개).,No se pueden agregar más puntos (máximo 32).,لا يمكن إضافة المزيد من النقاط (الحد الأقصى 32).,Tidak dapat menambah titik lagi (maksimum 32).,
None,None option label,なし,None,无,無,없음,Ninguno,لا شيء,Tidak ada,
NewPresetName,New preset name label,新しいプリセット名,New preset name,新预设名称,新預設名稱,새 프리셋 이름,Nuevo nombre de preset,اسم إعداد مسبق جديد,Nama preset baru,
RenamePresetTitle,Rename preset dialog title,プリセット名の変更,Rename Preset,重命名预设,重新命名預設,프리셋 이름 변경,Cambiar nombre del preset,إعادة تسمية الإعداد المسبق,Ubah Nama Preset,
SelectPresetFileTitle,Select preset file dialog title,プリセットファイルを選択,Select preset file,选择预设文件,選擇預設檔案,프리셋 파일 선택,Seleccionar archivo de preset,اختر ملف الإعداد المسبق,Pilih file preset,
EqpFileFilterWithAll,EQP file filter with all files option,EQPファイル (*.eqp)|*.eqp|すべてのファイル (*.*)|*.*,EQP files (*.eqp)|*.eqp|All files (*.*)|*.*,EQP文件 (*.eqp)|*.eqp|所有文件 (*.*)|*.*,EQP檔案 (*.eqp)|*.eqp|所有檔案 (*.*)|*.*,EQP 파일 (*.eqp)|*.eqp|모든 파일 (*.*)|*.*,Archivos EQP (*.eqp)|*.eqp|Todos los archivos (*.*)|*.*,ملفات EQP (*.eqp)|*.eqp|كل الملفات (*.*)|*.*,File EQP (*.eqp)|*.eqp|Semua file (*.*)|*.*,
PresetLoadFailed,Preset load failed message prefix,プリセットの読み込みに失敗しました。,Failed to load preset.,加载预设失败。,載入預設失敗。,프리셋을 불러오지 못했습니다.,Error al cargar el preset.,فشل تحميل الإعداد المسبق.,Gagal memuat preset.,
InvalidPresetName,Invalid preset name message,無効なプリセット名です。,Invalid preset name.,无效的预设名称。,無效的預設名稱。,잘못된 프리셋 이름입니다.,Nombre de preset no válido.,اسم الإعداد المسبق غير صالح.,Nama preset tidak valid.,
PresetSaveFailed,Preset save failed message prefix,プリセットの保存に失敗しました。,Failed to save preset.,保存预设失败。,儲存預設失敗。,프리셋 저장에 실패했습니다.,Error al guardar el preset.,فشل حفظ الإعداد المسبق.,Gagal menyimpan preset.,
PresetNameAlreadyExists,Preset name already exists message,同じ名前のプリセットが既に存在します。,A preset with the same name already exists.,已存在同名预设。,已存在同名預設。,같은 이름의 프리셋이 이미 존재합니다.,Ya existe un preset con el mismo nombre.,يوجد إعداد مسبق بنفس الاسم بالفعل.,Preset dengan nama yang sama sudah ada.,
PresetExportFailed,Preset export failed message prefix,プリセットのエクスポートに失敗しました。,Failed to export preset.,导出预设失败。,匯出預設失敗。,프리셋 내보내기에 실패했습니다.,Error al exportar el preset.,فشل تصدير الإعداد المسبق.,Gagal mengekspor preset.,
DefaultGroupVocal,Default group name vocal,ボーカル,Vocal,人声,人聲,보컬,Vocal,غناء,Vokal,
DefaultGroupSfx,Default group name sound effects,効果音,Sound Effects,音效,音效,효과음,Efectos de sonido,مؤثرات صوتية,Efek suara,
DefaultGroupOther,Default group name other,その他,Other,其他,其他,기타,Otros,أخرى,Lainnya,
CategoryExtended,Extended category name,拡張,Extended,扩展,擴展,확장,Extendido,ممتد,Diperluas,
